uniprot_description,count
Ankyrin repeat and SOCS box-containing 12a,1
Ankyrin repeat and SOCS box-containing 12b,1
Ankyrin repeat and SOCS box-containing 13,1
"Ankyrin repeat and SOCS box-containing 13a, tandem duplicate 1",1
"Ankyrin repeat and SOCS box-containing 13a, tandem duplicate 2",1
Ankyrin repeat and SOCS box-containing 13b,1
Ankyrin repeat domain 10,1
Ankyrin repeat domain 10a,1
Ankyrin repeat domain 10b,1
Ankyrin repeat domain 11,1
Ankyrin repeat domain 33Aa,1
Ankyrin repeat domain 33Ab,1
Ankyrin repeat domain 33B,1
Ankyrin repeat domain 33Bb,1
Ankyrin repeat domain 33ba,1
Ankyrin repeat domain 34A,1
Ankyrin repeat domain 34B,1
Ankyrin repeat domain 34Ba,1
Ankyrin repeat domain 34Bb,1
Ankyrin repeat domain 34C,1
Ankyrin repeat domain 36,1
Ankyrin repeat domain 40,1
Ankyrin repeat domain 42,1
Ankyrin repeat domain 45,1
Ankyrin repeat domain 46a,1
Ankyrin repeat domain 33,1
Ankyrin repeat domain 31,1
Ankyrin repeat domain 28b,1
Ankyrin repeat domain 17,1
"Ankyrin repeat domain 13 family, member D",1
"Ankyrin repeat domain 13 family, member D (Predicted)",1
Ankyrin repeat domain 13A,1
Ankyrin repeat domain 13C,1
Ankyrin repeat domain 13a,1
Ankyrin repeat domain 16,1
Ankyrin repeat domain 1a (cardiac muscle),1
Ankyrin repeat domain 28,1
Ankyrin repeat domain 1b (cardiac muscle),1
Ankyrin repeat domain 2,1
Ankyrin repeat domain 23,1
Ankyrin repeat domain 26,1
Ankyrin repeat domain 27,1
Ankyrin repeat domain 27 (VPS9 domain),1
Ankyrin repeat and KH domain-containing protein mask-1,1
Ankyrin repeat and ELMO domain-containing protein D,1
Angiopoietin 2,1
Angustifolia,1
Anhydrase,1
Anhydromuropeptide permease,1
Anillin-like protein 2,1
Anillin-like protein 3,1
Animal haem peroxidase family protein,1
Animal hem peroxidase family protein animal haem peroxidase family protein,1
Animal heme peroxidase,1
Anion exchange family protein,1
Anion exchanger SLC26A6,1
Anion transporter ABTS-2,1
Anion transporter ABTS-4a,1
Anion transporter SULP-1a,1
Anion transporter SULP-2,1
Anion transporter SULP-4,1
Anion transporter SULP-5,1
"Angustifolia, putative, expressed",1
Angiotensinogenase,1
Ankyrin repeat and EF-hand domain-containing 1b,1
Angiotensin-converting enzyme-related protein,1
Angiopoietin-like 1,1
Angiopoietin-like 1a,1
Angiopoietin-like 1b,1
Angiopoietin-like 2,1
Angiopoietin-like 2a,1
Angiopoietin-like 2b,1
Angiopoietin-like 5,1
Angiopoietin-like 8,1
Angiopoietin-related protein 5,1
Angiotensin 1-10,1
"Angiotensin II receptor, type 1a",1
"Angiotensin II receptor, type 1b",1
"Angiotensin II receptor, type 2",1
Angiotensin II receptor-associated protein,1
Angiotensin-converting enzyme-like protein Ace3,1
Anion transporter SULP-7d,1
Anion transporter SULP-8a,1
Anion/proton exchange transporter GEF1,1
Anion:sodium symporter,1
Ankrd58 protein,1
Ankrd6 protein,1
Ankrd9 protein,1
Ankyrin 1,1
"Ankyrin 1, erythrocytic a",1
"Ankyrin 1, erythrocytic b",1
Ankyrin 3b,1
Ankyrin and IPT/TIG repeat-containing protein C26H5.05,1
Ankyrin repeat and BTB (POZ) domain-containing 1,1
Ankyrin repeat and BTB (POZ) domain-containing 2a,1
Ankyrin repeat and BTB (POZ) domain-containing 2b,1
Ankyrin repeat and BTB/POZ domain-containing protein BTBD11-A,1
Ankyrin repeat and BTB/POZ domain-containing protein BTBD11-B,1
Ankyrin repeat and EF-hand domain-containing 1,1
Ankyrin repeat and EF-hand domain-containing 1a,1
Ankrd49 protein,1
Ankrd40 protein,1
Ankle2 protein,1
Ank 5 and Ank 2 domain containing protein,1
Anionic trypsin-1,1
Ank 2 and Ank domain containing protein,1
Ank 2 and BTB domain containing protein,1
Ank 2 and KN motif domain containing protein,1
Ank 2 and ZU5 and Ank domain containing protein,1
Ank 4 and Ank 2 domain containing protein,1
Ank 5 and ArfGap and SH3 2 domain containing prot ein,1
"Ank repeat-containing, putative",1
Ank 5 domain containing protein,1
Ank and Ank 2 and KAP NTPase and Ank 4 domain con taining protein,1
Ank and Ank 2 domain containing protein,1
Ank and TRP 2 domain containing protein,1
Ank domain containing protein,1
"Ank repeat PF|00023 containing protein, putative, expressed",1
Apobec1 complementation factor,1
Apolipoprotein A-IV a,1
Aminopeptidase M1-A,1
Aromatic amino acid exporter YddG,1
Aromatic amino acid transport protein AroP2,1
Aromatic aminotransferase ISS1,1
Aromatic-L-amino acid decarboxylase,1
"Aromatic-L-amino-acid decarboxylase (AADC) (DOPA decarboxylase) (DDC),putative",1
Aromatic-amino-acid:2-oxoglutarate transaminase,1
Aromatic-preferring amino acid transporter,1
Aromatic-rich family protein,1
"Arouser, isoform A",1
Arp2/3 complex subunit Arc16,1
Arp9p,1
ArpU family phage transcriptional regulator,1
Arr3p,1
Arrb2b protein,1
"Arrestin (Or S-antigen), N-terminal domain protein",1
"Arrestin domain containing 2, isoform CRA_a",1
Aromatic amino acid transport protein AroP1,1
Aromatic amino acid aminotransferase DDB_G0287711,1
Arrestin domain-containing 1a,1
Aromatic amino acid aminotransferase DDB_G0272014,1
"Arogenate dehydratase/prephenate dehydratase 1, chloroplastic",1
Arogenate dehydratase/prephenate dehydratase 2 chloroplastic,1
"Arogenate dehydratase/prephenate dehydratase 2, chloroplastic",1
"Arogenate dehydratase/prephenate dehydratase 6, chloroplastic",1
Arogenate dehydrogenase 1,1
"Arogenate dehydrogenase 1, chloroplastic",1
Arogenate dehydrogenase 2,1
"Arogenate dehydrogenase 2, chloroplastic",1
Arogenate dehydrogenase isoform 2,1
Aromatic L amino acid decarboxylase,1
Aromatic acid exporter family protein,1
Aromatic amino acid aminotransferase 2,1
Aromatic amino acid aminotransferase C1773.13,1
Aromatic amino acid aminotransferase C569.07,1
Aromatic amino acid aminotransferase C56E4.03,1
Arrestin domain containing 3,1
Arrestin domain-containing 1b,1
Arsenite resistance protein Ars2,1
Arrestin-related trafficking adapter 5,1
Arrestin_(Or_S-antigen)_-_N-terminal_domain /Arrestin_N_terminal_like_-_putative,1
ArsC family reductase,1
ArsR protein,1
Arsenate operon regulator,1
Arsenate reductase 2.2,1
"Arsenate reductase, putative",1
Arsenic metallochaperone ArsD family protein,1
Arsenic-transport integral membrane protein,1
Arsenical resistance operon repressor,1
Arsenical resistance protein ArsH,1
Arsenical resistance transcriptional repressor,1
Arsenical-resistance protein 3,1
Arsenical-resistance protein ARR1,1
Arsenical-resistance protein Acr3,1
Arsenite Inducible Protein,1
Arrestin-related trafficking adapter 6,1
Arrestin-E,1
Arrestin domain-containing 2,1
Arrestin-D,1
Arrestin domain-containing 3b,1
Arrestin domain-containing 5,1
Arrestin domain-containing protein 15,1
Arrestin domain-containing protein 17,1
Arrestin domain-containing protein A,1
Arrestin domain-containing protein B,1
Arrestin domain-containing protein C,1
Arrestin domain-containing protein C31A2.12,1
Arrestin domain-containing protein C584.15c,1
Arrestin domain-containing protein D,1
Arrestin domain-containing protein E,1
Arrestin domain-containing protein F,1
Arrestin protein,1
"Arrestin, beta 1",1
"Arrestin, beta 2a",1
"Arogenate dehydratase 5, chloroplastic",1
"Arogenate dehydratase 4, chloroplastic",1
"Arogenate dehydratase 3, chloroplastic",1
Argonaute101,1
Argonaute105,1
Argonaute108,1
Argonaute10b,1
Argonaute18b,1
Argonaute1a,1
Argonaute1b,1
Argonaute1c,1
Argonaute1d,1
Argonaute2a,1
Argonaute2b,1
Argonaute4a,1
Argonaute5b,1
Argonaute5c,1
Argonaute6,1
ArhGAP9,1
Argonaute104,1
Argonaute1,1
Aro80p,1
"Argonaute-like protein, putative",1
"Argininosuccinate synthase, chloroplastic",1
Arginyl aminopeptidase (Aminopeptidase B),1
Arginyl-tRNA--protein transferase 2,1
ArgoN domain-containing protein,1
Argonaut-like_protein_-_putative,1
Argonaute (Plant)-Like protein,1
Argonaute 2,1
"Argonaute 2, putative",1
Argonaute RISC catalytic component 2,1
Argonaute RISC component 4,1
Argonaute protein wago-1,1
Argonaute protein wago-4,1
"Argonaute-1, isoform A",1
Argonaute-binding protein 2,1
Argonaute-like protein,1
Aristaless-related homeobox b,1
Aristaless-related homeobox protein,1
Aristolochene synthase,1
Arm and fn3 domain containing protein,1
Armadillo repeat-containing zfs1 target protein 1,1
"Armadillo repeat-containing, X-linked 2",1
"Armadillo repeat-containing, X-linked 5",1
Armadillo-domain containing rhoptry protein,1
Armadillo-like helical domain containing protein 1,1
Armadillo-like helical domain-containing 2,1
Armadillo-like helical domain-containing 3,1
Armadillo-like helical domain-containing 4,1
Armadillo-like helical domain-containing protein,1
Armadillo-like helical domain-containing protein 2,1
Armadillo-type fold domain containing protein,1
Armadillo/beta-catenin-like repeat,1
Armadillo/beta-catenin-like repeat protein,1
Armadillo/beta-catenin-like_repeat_-_putative,1
Arntl1b protein,1
Armadillo repeat-containing protein wrm-1,1
Armadillo repeat-containing protein gudu,1
Armadillo repeat-containing protein 6 homolog,1
"Armadillo repeat protein PF16, putative",1
Arm-DNA-bind_3 domain-containing protein,1
Armadillo repeat containing 6,1
Armadillo repeat only 2,1
Armadillo repeat only 3,1
Armadillo repeat only 4,1
Armadillo repeat protein,1
Armadillo repeat protein deleted in velo-cardio-facial syndrome,1
Armadillo repeat-containing kinesin-like protein 3,1
Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog,1
"Armadillo repeat protein, putative",1
Armadillo repeat-containing 10,1
Armadillo repeat-containing 12,1
Armadillo repeat-containing 5,1
Armadillo repeat-containing X-linked protein 4,1
Arsenite resistance protein,1
Arsenite resistance protein ArsB,1
"Apolipoprotein A-IV b, tandem duplicate 1",1
"Aspartate aminotransferase, chloroplastic",1
"Aspartate aminotransferase, cytoplasmic isozyme 2",1
Aspartate beta-hydroxylase,1
Aspartate dehydrogenase domain-containing protein,1
Aspartate racemase,1
Aspartate--ammonia_ligase_-_putative,1
"Aspartate--tRNA ligase 1, cytoplasmic",1
"Aspartate--tRNA ligase 2, cytoplasmic",1
"Aspartate--tRNA ligase, chloroplastic/mitochondrial",1
"Aspartate--tRNA ligase, cytoplasmic 1",1
"Aspartate--tRNA ligase, cytoplasmic 2",1
"Aspartate--tRNA ligase, putative",1
Aspartate-beta-hydroxylase,1
Aspartate-rich protein 1,1
Aspartate-tRNA ligase,1
Aspartate/glutamate transporter,1
"Aspartate aminotransferase, cytoplasmic isozyme 1",1
"Aspartate aminotransferase 3, chloroplastic",1
Aspartic endopeptidase Pep2,1
Asparginase,1
Asparagine synthetase domain-containing protein C4F6.11c,1
Asparagine synthetase domain-containing protein CG17486,1
Asparagine synthetase domain-containing protein YML096W,1
"Asparagine--tRNA ligase, chloroplastic/mitochondrial",1
"Asparagine--tRNA ligase, cytoplasmic 1",1
"Asparagine--tRNA ligase, cytoplasmic 2",1
"Asparagine--tRNA ligase, cytoplasmic 3",1
Asparagine-linked glycosylation protein 8,1
Asparagine-rich antigen Pfa55-14,1
"Asparagine-rich protein, putative",1
Asparagine-rich zinc-finger protein,1
Asparaginyl endopeptidase,1
Asparaginyl endopeptidase REP-2,1
"Asparaginyl-tRNA synthetase 2, mitochondrial",1
Asparaginyl-tRNA synthetase family,1
"Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain protein",1
Aspartic protease 1,1
Arsenite resistance protein arsB,1
Aspartic proteinase yapsin-6,1
Aspartic/glutamic acid-rich protein,1
"Aspartokinase 1, chloroplastic",1
"Aspartokinase 2, chloroplastic",1
"Aspartokinase 3, chloroplastic",1
Aspartyl aminopeptidase 1,1
Aspartyl aminopeptidase 4,1
"Aspartyl aminopeptidase, putative, expressed",1
"Aspartyl beta-hydroxylase, isoform L",1
Aspartyl protease 25,1
Aspartyl protease 37,1
Aspartyl protease UND,1
Aspartyl protease family protein 1,1
Aspartyl protease family protein At5g10770,1
Aspartyl protease gag-polyprotein,1
"Aspartyl tRNA synthetase, mitochondrial",1
Aspartic proteinase yapsin-7,1
Aspartic proteinase yapsin-1,1
Aspartic protease 10,1
Aspartic proteinase sxa1,1
Aspartic protease 17,1
Aspartic protease 3,1
Aspartic protease 4,1
Aspartic protease 6,1
Aspartic protease BmAsp-1; Bm3492,1
Aspartic protease pepA,1
Aspartic proteinase 3,1
Aspartic proteinase 36,1
Aspartic proteinase 39,1
Aspartic proteinase A2,1
Aspartic proteinase A3,1
Aspartic proteinase Asp1,1
Aspartic proteinase MKC7,1
"Aspartic proteinase NANA, chloroplast",1
Aspartic proteinase oryzasin-1,1
Asparagine synthetase domain-containing 1,1
"Asparagine synthetase a, putative",1
Asparagine synthetase a,1
Arylacetamide deacetylase-like protein 2,1
"Arylalkylamine N-acetyltransferase-like 2, isoform A",1
Arylalkylamine N-acetyltransferase-like 3,1
Arylalkylamine N-acetyltransferase-like 4,1
Arylalkylamine N-acetyltransferase-like 5,1
Arylalkylamine N-acetyltransferase-like 6,1
"Arylalkylamine N-acetyltransferase-like 7, isoform A",1
Arylamine N-acetyltransferase / N-hydroxyarylamine O-acetyltransferase,1
Arylamine N-acetyltransferase 3,1
Aryldialkylphosphatase,1
Arylesterase/monooxygenase,1
Arylformamidase,1
Arylsulfatase D,1
Arylsulfatase E,1
Arylsulfatase F,1
Arylsulfatase L,1
Arylacetonitrilase,1
Arylacetamide deacetylase-like 2-like,1
Asparagine synthetase B [glutamine-hydrolyzing],1
Aryl-hydrocarbon receptor repressor b,1
Arsenite transport subunit B,1
Arsenite transporting ATPase,1
Arsenite-resistance protein 2,1
Arsenite-resistance protein 2 containing protein,1
Artemin a,1
"Artemis, isoform B",1
Arv1-like protein,1
Arv1-like_family_-_putative,1
Aryl hydrocarbon receptor 1B,1
Aryl hydrocarbon receptor 2,1
Aryl hydrocarbon receptor Interacting Protein (AIP) Related,1
Aryl hydrocarbon receptor nuclear translocator-like 1a,1
Aryl hydrocarbon receptor protein 1,1
Aryl hydrocarbon receptor-interacting protein-like 2,1
Aryl-hydrocarbon receptor repressor a,1
"Arylsulfatase family, member Ia",1
"Arylsulfatase family, member Ib",1
"Arylsulfatase family, member J",1
Arylsulfatase regulator,1
"AslB, putative (DUF239)",1
Asm3p,1
AsmA family protein,1
AsmA family protein YhjG,1
AsmA family protein YicH,1
Asn synthase domain containing protein,1
Asp domain containing protein,1
Asp-Al Ex domain containing protein,1
Asp-Al_Ex domain-containing protein,1
Asp/Glu racemase,1
Asp/Glu/hydantoin racemase,1
Asp23 domain containing protein,1
Asparaginase-like protein 1,1
Asparagine ligase A,1
"Asparagine synthetase A, putative",1
AslB (DUF239),1
Asialoglycoprotein receptor-like 2,1
Asialoglycoprotein receptor-like 1,1
Ascorbate_peroxidase,1
As(III) methyltransferase,1
As/Sb_Reductase,1
Asc-type amino acid transporter 2,1
Asceapen1,1
"Ascorbate transporter, chloroplastic",1
Ascorbate-specific transmembrane electron transporter 2,1
Ascorbic acid mannose pathway regulator,1
Ash2p,1
"Ascus wall endo-1,3(4)-beta-glucanase",1
"Ascus wall endo-1,3-alpha-glucanase",1
Ase1p,1
Asg7p,1
Ash-psi,1
"Ash2-like, histone lysine methyltransferase complex subunit",1
"Argininosuccinate lyase, isoform B",1
"Argininosuccinate lyase, chloroplastic",1
Argininosuccinate lyase chloroplastic,1
Aquaporin NIP-type,1
Aquaporin NIP1-4,1
Aquaporin NIP2-3,1
Aquaporin NIP3-2,1
Aquaporin NIP3-3,1
Aquaporin NIP4-1,1
Aquaporin NIP6-1,1
Aquaporin PIP 1-3,1
Aquaporin PIP1-3,1
Aquaporin PIP1-3/PIP1-4,1
Aquaporin PIP1-5,1
Aquaporin PIP2-6,1
Aquaporin SIP1-2,1
Aquaporin TIP1-3,1
Aquaporin TIP2-2,1
Aquaporin TIP3-2,1
Aquaporin NIP1-3,1
Aquaporin C,1
Aquaporin TIP4-2,1
Aquaporin A,1
"Apyrase, putative",1
Aqp8a protein,1
Aquaglycerol porin AQY3,1
"Aquaglyceroporin (Small solute channel), putative",1
Aqualysin-1,1
Aquaporin 10b,1
Aquaporin 1a,1
"Aquaporin 1a (Colton blood group), tandem duplicate 2",1
"Aquaporin 3, putative",1
Aquaporin 4,1
Aquaporin 7,1
"Aquaporin 8a, tandem duplicate 2",1
Aquaporin 8b,1
Aquaporin 9,1
Aquaporin 9b,1
Aquaporin TIP3.1,1
Aquaporin TIP4-3,1
Arginine_N-methyltransferase_-_type_II_-_putative,1
Aqy1p,1
ArAE_2_N domain-containing protein,1
AraC,1
AraC family bacterial regulatory protein,1
AraC protein arabinose-binding/dimerization,1
AraC-type transcriptional regulator,1
Arabidiol synthase,1
"Arabinan endo-1,5-alpha-L-arabinosidase A",1
Arabinofuranosidase,1
Arabinofuranosyltransferase family protein,1
Arabinogalactan biosynthesis recruiting protein ML0110,1
Arabinogalactan biosynthesis recruiting protein Rv3789,1
Arabinogalactan peptide 1,1
Arabinogalactan peptide 2,1
Arabinogalactan protein,1
Arabinogalactan protein 1,1
ArAE_2 domain-containing protein,1
Aquarius_N domain-containing protein,1
Aquaporin TIP4-4,1
Aquarius intron-binding spliceosomal factor,1
Aquaporin TIP5-1,1
Aquaporin Z-water channel protein,1
Aquaporin-0a,1
Aquaporin-0b,1
Aquaporin-10,1
Aquaporin-10a,1
Aquaporin-12,1
Aquaporin-12A,1
Aquaporin-12B,1
Aquaporin-14,1
Aquaporin-B,1
Aquaporin-like protein 2,1
Aquaporin_-_putative,1
Aquaporin_2_-_putative,1
Aquarius,1
Apyrase apy-1,1
Apyrase 2,1
Apyrase,1
Apolipoprotein L 7e,1
Apolipoprotein L 9a,1
Apolipoprotein L 9b,1
Apolipoprotein L domain-containing 1,1
"Apolipoprotein L, 1",1
"Apolipoprotein L, 3",1
Apolipoprotein L1,1
Apolipoprotein L2,1
Apolipoprotein L3,1
Apolipoprotein L4,1
Apolipoprotein L5,1
Apolipoprotein L6,1
"Apollo, isoform A",1
Apoptosis and caspase activation inhibitor,1
"Apoptosis and caspase activation inhibitor, isoform A",1
"Apoptosis inducing factor 1, mitochondrial",1
Apolipoprotein L 8,1
Apolipoprotein L 7c,1
Apurinic-apyrimidinic endonuclease,1
Apolipoprotein L 7b,1
"Apolipoprotein A-IV b, tandem duplicate 2",1
Apolipoprotein A-Ib,1
"Apolipoprotein B editing complex 2 (Predicted), isoform CRA_a",1
"Apolipoprotein B mRNA-editing enzyme, catalytic polypeptide-like 2a",1
"Apolipoprotein B mRNA-editing enzyme, catalytic polypeptide-like 2b",1
"Apolipoprotein Bb, tandem duplicate 2",1
Apolipoprotein C-I-like,1
Apolipoprotein E receptor 2,1
Apolipoprotein Ea,1
Apolipoprotein Eb,1
Apolipoprotein L 10A,1
Apolipoprotein L 10B,1
Apolipoprotein L 11b,1
Apolipoprotein L 6,1
Apolipoprotein L 7a,1
Apoptosis inhibitor,1
Apoptosis inhibitor 5-like protein API5,1
Apoptosis inhibitor Rv3654c,1
Apoptosis inhibitor Rv3655c,1
"Apoptosis-inducing factor, mitochondria-associated 2",1
"Apoptosis-inducing factor, mitochondria-associated 3",1
"Apoptosis-inducing factor, putative",1
Apoptosis-linked gene 2-interacting protein X 1,1
Apoptosis-linked gene-2,1
Apoptosis-linked protein 2,1
Apoptosis-related protein,1
Apoptotic chromatin condensation inducer 1,1
Apoptotic chromatin condensation inducer 1a,1
Apoptotic chromatin condensation inducer 1b,1
"Apoptotic signal-regulating kinase 1, isoform C",1
Appr-1-p processing domain protein,1
"Appr-1-p processing enzyme family protein, putative, expressed",1
Aprataxin and PNKP-like factor,1
"Aps, isoform A",1
Apoptosis-inducing factor mitochondrion-associated 1,1
Apoptosis-inducing factor mitochondria-associated 5,1
Apoptosis-inducing factor mitochondria-associated 4,1
Apoptosis-associated tyrosine kinase,1
"Apoptosis inhibitor, putative",1
Apoptosis inhibitory protein,1
Apoptosis regulator Bcl-X,1
Apoptosis regulator ced-9,1
"Apoptosis, caspase activation inhibitor",1
Apoptosis-antagonizing transcription factor,1
Apoptosis-associated tyrosine kinase a,1
Apoptosis-inducing factor mitochondria-associated 3,1
Apoptosis-associated tyrosine kinase b,1
Apoptosis-inducing factor A,1
Apoptosis-inducing factor B,1
Apoptosis-inducing factor homolog A,1
Apoptosis-inducing factor homolog B,1
Apoptosis-inducing factor mitochondria-associated 2,1
Arabinogalactan protein 12,1
Arabinogalactan protein 13,1
Arabinogalactan protein 14,1
"Arginine N-methyltransferase, type I",1
Arginine N-succinyltransferase subunit alpha,1
Arginine N-succinyltransferase subunit beta,1
Arginine and glutamate-rich protein 1-A,1
Arginine and glutamate-rich protein 1-B,1
Arginine attenuator peptide,1
Arginine deiminase type-3,1
"Arginine deiminase, truncation",1
Arginine glutamic acid dipeptide repeats,1
"Arginine kinase, putative",1
Arginine metabolism regulation protein I,1
Arginine methyltransferase 1,1
"Arginine methyltransferase 2, isoform A",1
"Arginine methyltransferase 3, isoform A",1
Arginine methyltransferase 6,1
Arginine methyltransferase 8,1
Arginine N-methyltransferase-like protein,1
"Arginine N-methyltransferase, putative (DUF688)",1
"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3b",1
Arginine N-methyltransferase Skb1,1
ArfGap/RecO-like zinc finger domain-containing protein,1
Arfaptin,1
Arg11p,1
Arg3.1/Arc mRNA-binding zinc finger protein,1
Arg81p,1
Arg83p,1
ArgH (DUF639),1
ArgK and ECH domain containing protein,1
Arg_tRNA_synt_N domain-containing protein,1
Arginase 1 mitochondrial,1
"Arginase 2, chloroplastic/mitochondrial",1
Arginase domain containing protein,1
"Arginine ABC transporter, periplasmic arginine-binding protein ArtI",1
"Arginine ABC transporter, permease protein ArtM",1
Arginine N-methyltransferase,1
Arginine methyltransferase 9,1
Arginine permease CAN1,1
Arginine succinyltransferase,1
Arginine transport system ATP-binding protein,1
Arginine/ornithine transport protein AotM,1
Arginine/ornithine transport protein AotQ,1
Arginine/serine-rich coiled coil protein 1,1
Arginine/serine-rich coiled-coil 1,1
Arginine/serine-rich protein-like protein,1
Arginine/serine-rich splicing factor RS2Z39 transcript III,1
Arginine/serine-rich splicing factor RSZ28I,1
Arginine/serine-rich splicing factor SCL25A transcript I,1
Arginine/serine-rich splicing factor SCL25B transcript IV,1
Arginine/serine-rich splicing factor SR45_1,1
"Arginine/serine-rich splicing factor, putative, expressed",1
Arginine/serine-rich-like splicing factor,1
Arginine:ornithine antiporter,1
Arginine_N-methyltransferase_-_putative,1
Arginine_N-methyltransferase_-_type_III_-_putative,1
Arginine/ornithine transport ATP-binding protein AotP,1
Arginine/ornithine binding protein AotJ,1
"Arginine/ornithine antiporter, putative",1
"Arginine--tRNA ligase, chloroplastic/mitochondrial",1
Arginine transporter permease subunit ArtQ,1
Arginine vasopressin receptor 1Aa,1
Arginine vasopressin receptor 1Ab,1
"Arginine vasopressin receptor 2,-like",1
"Arginine vasopressin receptor 2a, duplicate b",1
Arginine--pyruvate transaminase AruH,1
"Arginine--tRNA ligase, mitochondrial",1
Arginine/ornithine antiporter,1
Arginine-aspartate-rich RNA binding protein-like,1
Arginine-fifty homeobox,1
Arginine-glutamic acid dipeptide (RE) repeats a,1
Arginine-glutamic acid dipeptide (RE) repeats b,1
Arginine-tRNA-protein transferase,1
Arginine/glutamate-rich 1 protein,1
ArfGAP with dual PH domains 2,1
"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3a",1
Arabinogalactan protein 15,1
Arabinoxylan arabinofuranohydrolase,1
Arachidonate 5-lipoxygenase a,1
"Arachidonate 5-lipoxygenase b, tandem duplicate 1",1
"Arachidonate 5-lipoxygenase b, tandem duplicate 2",1
"Arachidonate 5-lipoxygenase b, tandem duplicate 3",1
Arad-like aldolase/epimerase,1
Arc domain-containing protein,1
"Arc, isoform A",1
Arc1p,1
Arc42,1
Archaeal ATPase family protein,1
Archaeal Lon protease,1
Archaeal Rqc2 homolog aRqcH,1
Archaeal glutamate synthase [NADPH],1
Archaemetzincin,1
Archaeosine synthase,1
Arachidonate 12-lipoxygenase,1
Arabinosyltransferase RRA3,1
"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",1
Arabinosyltransferase RRA2,1
Arabinogalactan protein 16,1
Arabinogalactan protein 20,1
Arabinogalactan protein 21,1
Arabinogalactan protein 22,1
Arabinogalactan protein 23,1
Arabinogalactan protein 24,1
Arabinogalactan protein 40,1
Arabinogalactan protein 41,1
Arabinogalactan-protein family,1
Arabinose 5-phosphate isomerase KpsF,1
Arabinose efflux permease family protein,1
"Arabinose-binding domain of AraC transcription regulator, N-term family protein",1
Arabinosyltransferase AftB domain protein,1
Arabinosyltransferase C,1
Arabinosyltransferase RRA1,1
Archaic_Translocase_of_outer_membrane_14_kDa_subunit_-_putative,1
Archaic_translocase_of_outer_membrane_11_kDa_subunit_-_putative,1
Archaic_translocase_of_outer_membrane_12_kDa_subunit_-_putative,1
Archaic_translocase_outer_mitochondrial_membrane_ 46_kDa_subunit_-_putative,1
ArfGAP with FG repeats 1a,1
ArfGAP with FG repeats 1b,1
ArfGAP with FG repeats 2,1
"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",1
"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",1
"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",1
"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1a",1
"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",1
"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3",1
"ArfGAP with SH3 domain, ANK repeat and PH domain-containing protein",1
"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1a",1
"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1b",1
"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",1
"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2a",1
"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2b",1
Arf3p,1
"Arf-related protein 1, arfrp1",1
Arf-GAP with dual PH domain-containing protein 1,1
Arf guanine nucleotide exchange factor sec74,1
Archaic_translocase_outer_mitochondrial_membrane_40_-_putative,1
Ardp,1
"Arf GAP with GTPase, ANK repeat and PH",1
"Arf GAP with coiled coil, ANK repeat and PH",1
Arf gtpase-activating protein,1
Arf guanine nucleotide exchange factor SYT1,1
Arf-GAP with ANK repeat and PH domain-containing protein cnt-1,1
"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3",1
Arf-GAP with ANK repeat and PH domain-containing protein cnt-2,1
"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 11",1
"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4",1
"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5",1
"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6",1
"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 9",1
Aminopeptidase M1-B,1
Aminopeptidase HP_1037,1
Copine 2,1
Agouti related protein homolog (Mouse),1
Agouti-related peptide 2,1
Agouti-signaling protein 1,1
Agp2p,1
Agp3p,1
Aha1 N and AHSA1 domain containing protein,1
Aha1 domain family,1
Aha1 domain-containing protein,1
Aha1p,1
Ahp2p,1
AhpC/TSA_family/Thioredoxin-like_-_putative,1
AidB_N domain-containing protein,1
Aig1 protein,1
Ail Lom domain containing protein,1
Ajuba LIM protein,1
Akirin,1
Agouti-related neuropeptide,1
Ago1p,1
Akirin homolog,1
Agmatine ureohydrolase (agmatinase),1
Agglutinin-2,1
Agglutinin-like protein 1,1
Agglutinin-like protein 2,1
Agglutinin-like protein 3,1
Agglutinin-like protein 4,1
Agglutinin-like protein 5,1
Agglutinin-like protein 6,1
Agglutinin-like protein 7,1
Agglutinin-like protein 9,1
Aggrecan a,1
Aggrecan b,1
Agmatinase-like protein,1
Agmatine N-acetyltransferase,1
